timestamp,position,gt_position,action,gt_action,response_time,sync,is_action_correct,is_position_correct
1630917340.743499,None,1 3 2,None,jamesbond,60.036216259002686,0,False,False
1630917540.009711,None,1 3 2,None,dab,60.01766538619995,0,False,False
1630917600.0502336,None,2 3 1,None,jamesbond,60.012699365615845,0,False,False
1630917660.078857,None,3 1 2,None,jamesbond,60.01849436759949,0,False,False
1630926941.3210342,None,2 3 1,None,dab,60.00908946990967,0,False,False
1630927361.7043614,None,3 2 1,None,jamesbond,60.02058529853821,0,False,False
1630930769.9563558,2 1 3,1 2 3,jamesbond,jamesbond,0.3696470260620117,234,True,False
1630930774.9621742,1 2 3,3 1 2,jamesbond,dab,5.000417232513428,76,False,False
1630930779.9674551,3 2 1,1 2 3,mermaid,dab,5.001511335372925,257,False,False
1630930784.9729638,3 2 1,2 1 3,jamesbond,mermaid,5.00189733505249,124,False,False
1630930789.9776778,2 1 3,2 3 1,jamesbond,jamesbond,5.00042986869812,199,True,False
1630930794.9829488,2 3 1,3 1 2,dab,dab,5.000504970550537,392,True,False
1630930799.9878297,2 1 3,2 1 3,dab,dab,5.000041246414185,297,True,True
1630930804.9939446,1 3 2,3 1 2,mermaid,jamesbond,5.001908540725708,306,False,False
1630930809.999341,1 2 3,1 2 3,dab,mermaid,5.000400066375732,76,False,True
1630932806.4636018,1 3 2,3 1 2,jamesbond,jamesbond,2.8992342948913574,0,True,False
1630932811.4803333,3 1 2,3 1 2,mermaid,jamesbond,5.009145498275757,66,False,True
1630932816.4708443,1 2 3,2 3 1,jamesbond,mermaid,4.972800970077515,39,False,False
1630932821.4909382,1 2 3,1 2 3,mermaid,dab,5.015618801116943,136,False,True
1630932826.4968717,3 1 2,1 3 2,jamesbond,mermaid,4.993163824081421,491,False,False
1630932831.5059159,1 3 2,1 2 3,dab,dab,4.994340896606445,150,True,False
1630932836.50982,1 3 2,2 3 1,jamesbond,mermaid,4.985910415649414,107,False,False
1630932841.5075364,2 1 3,2 1 3,jamesbond,jamesbond,4.976728677749634,317,True,True
1630932846.5205116,2 1 3,2 1 3,dab,dab,5.002398490905762,221,True,True
1630932851.5156763,2 3 1,1 2 3,dab,mermaid,4.9834511280059814,291,False,False
1630932856.526186,3 1 2,1 3 2,mermaid,jamesbond,5.005721092224121,346,False,False
1630932861.5281205,3 2 1,3 1 2,dab,dab,4.991312503814697,158,True,False
1630932866.5312476,1 3 2,2 1 3,jamesbond,dab,4.992284059524536,475,False,False
1630932871.5345676,1 2 3,2 3 1,mermaid,dab,4.998861074447632,276,False,False
1630932876.5558865,2 1 3,1 2 3,dab,dab,5.01744532585144,491,True,False
1630932881.5553622,2 1 3,2 1 3,mermaid,dab,4.982953786849976,315,False,True
1630932886.5680482,2 1 3,2 3 1,jamesbond,dab,5.000308990478516,304,False,False
1630932891.5734174,1 3 2,3 1 2,mermaid,dab,4.998637914657593,27,False,False
1630932896.5745008,3 2 1,3 1 2,jamesbond,dab,4.9868621826171875,480,False,False
1630932901.5787914,2 3 1,3 2 1,mermaid,dab,4.991420745849609,308,False,False
1630932906.592404,1 3 2,1 3 2,jamesbond,dab,5.008628845214844,216,False,True
1630932911.5914674,1 3 2,2 3 1,dab,dab,4.981565713882446,107,True,False
1630932916.5987804,2 3 1,3 1 2,mermaid,dab,4.996528387069702,467,False,False
1630932921.6085548,1 3 2,3 2 1,dab,dab,5.002591848373413,10,True,False
1630932926.6165674,1 3 2,3 1 2,mermaid,dab,4.990293502807617,267,False,False
1630932931.6205974,1 3 2,2 1 3,mermaid,dab,4.991862058639526,490,False,False
1630932936.6278465,2 3 1,2 1 3,dab,dab,4.9943718910217285,184,True,False
1630932941.6329343,2 1 3,3 2 1,jamesbond,dab,4.988955497741699,250,False,False
1630932946.640423,3 1 2,3 1 2,dab,dab,4.992076396942139,448,True,True
1630932951.634736,3 1 2,1 2 3,mermaid,dab,4.976284742355347,392,False,False
1630932956.6505415,1 3 2,1 2 3,mermaid,dab,5.004956960678101,202,False,False
1630932961.6558065,3 2 1,1 2 3,mermaid,dab,4.987644672393799,328,False,False
1630932966.6630168,1 3 2,2 1 3,dab,dab,4.995770692825317,446,True,False
1630932971.6692784,2 1 3,2 3 1,mermaid,dab,4.991352081298828,42,False,False
1630932976.675175,2 3 1,1 3 2,mermaid,dab,4.990623235702515,403,False,False
1630932981.6811097,2 1 3,3 1 2,jamesbond,dab,4.987967252731323,317,False,False
1630932986.6820252,1 2 3,2 1 3,mermaid,dab,4.982852220535278,149,False,False
1630932991.6898448,3 1 2,3 1 2,jamesbond,dab,4.997788429260254,489,False,True
1630932996.6830585,1 2 3,2 3 1,jamesbond,dab,4.9849090576171875,468,False,False
1630933001.7037888,2 3 1,1 2 3,jamesbond,dab,5.016006708145142,237,False,False
1630933006.7109249,1 2 3,1 3 2,dab,dab,4.991549730300903,254,True,False
1630933011.7164915,2 1 3,1 2 3,mermaid,dab,4.99332594871521,37,False,False
1630933016.722631,1 2 3,3 1 2,mermaid,dab,4.991246700286865,309,False,False
1630933021.7284935,1 3 2,3 2 1,dab,dab,4.9892613887786865,25,True,False
1630933026.7335777,1 2 3,2 3 1,jamesbond,dab,4.985453128814697,379,False,False
1630933031.7411616,2 3 1,3 1 2,jamesbond,dab,4.991434097290039,366,False,False
1630933036.748264,3 2 1,1 3 2,mermaid,dab,4.988858699798584,475,False,False
1630933041.7536545,3 1 2,1 3 2,mermaid,dab,4.987931251525879,128,False,False
1630933046.760751,1 3 2,3 1 2,jamesbond,dab,4.993494749069214,146,False,False
1630933051.7655308,2 3 1,1 3 2,dab,dab,4.990752935409546,165,True,False
1630933056.7713134,3 2 1,3 1 2,mermaid,dab,4.990552663803101,197,False,False
1630933061.7677567,2 1 3,1 3 2,mermaid,dab,4.979839563369751,92,False,False
1630933066.7686813,2 1 3,1 2 3,mermaid,dab,4.996770858764648,77,False,False
1630933071.7895553,3 1 2,2 1 3,mermaid,dab,5.015653371810913,378,False,False
1630933076.7937367,3 2 1,1 2 3,jamesbond,dab,4.984971523284912,435,False,False
1630933081.7909544,1 2 3,3 1 2,dab,dab,4.986106634140015,458,True,False
1630933086.8048851,1 3 2,3 2 1,dab,dab,5.003845930099487,494,True,False
1630933091.812159,2 1 3,2 1 3,dab,dab,4.9917216300964355,414,True,True
1630933096.8189573,1 3 2,3 1 2,jamesbond,dab,4.989595174789429,384,False,False
1630933101.8192296,1 2 3,3 1 2,jamesbond,dab,4.982272386550903,174,False,False
1630933106.8331277,3 2 1,1 2 3,dab,dab,5.0038323402404785,88,True,False
1630933111.8345573,3 1 2,3 1 2,dab,dab,4.984262943267822,471,True,True
1630933116.842315,1 2 3,3 2 1,mermaid,dab,4.997445583343506,307,False,False
1630933121.8395443,2 3 1,1 2 3,jamesbond,dab,4.984440565109253,138,False,False
1630933126.8443823,1 3 2,2 3 1,mermaid,dab,4.99323296546936,298,False,False
1630933131.852813,3 2 1,2 3 1,jamesbond,dab,5.000478744506836,5,False,False
1630933136.8595989,3 1 2,1 3 2,dab,dab,4.996455430984497,244,True,False
1630933141.868227,3 2 1,2 1 3,dab,dab,4.998428106307983,87,True,False
1630933146.8651876,3 1 2,1 2 3,mermaid,dab,4.980599403381348,482,False,False
1630933151.8808634,2 1 3,1 3 2,dab,dab,5.00853157043457,396,True,False
1630933156.8862724,2 1 3,1 2 3,jamesbond,dab,4.9903857707977295,439,False,False
1630933161.8932958,1 2 3,3 2 1,mermaid,dab,4.991079807281494,303,False,False
1630933166.8959908,1 2 3,1 3 2,mermaid,dab,4.98535680770874,428,False,False
1630933171.9043295,3 1 2,2 1 3,dab,dab,4.998693227767944,269,True,False
1630933176.9104025,3 1 2,3 2 1,jamesbond,dab,4.988307952880859,99,False,False
1630933181.9166894,3 2 1,2 3 1,dab,dab,4.9861900806427,45,True,False
1630933186.9229896,1 2 3,1 2 3,mermaid,dab,4.986979007720947,60,False,True
1630933191.9285424,1 2 3,2 3 1,mermaid,dab,4.992434501647949,494,False,False
1630933196.9348023,2 1 3,1 3 2,jamesbond,dab,4.991474390029907,348,False,False
1630952434.0492666,None,2 1 3,None,dab,60.02119445800781,0,False,False
1630952656.2706172,None,3 2 1,None,jamesbond,60.02055358886719,0,False,False
1630952871.8330362,None,2 1 3,None,dab,60.00651454925537,0,False,False
1630952931.8480186,None,3 1 2,None,jamesbond,60.010149002075195,0,False,False
1630953961.9025738,None,3 1 2,None,mermaid,60.012048959732056,0,False,False
1630954021.9348116,None,2 3 1,None,jamesbond,60.01854872703552,0,False,False
1630954158.9703598,None,3 2 1,None,jamesbond,60.00538372993469,0,False,False
1630955543.1245244,1 2 3,1 3 2,mermaid,dab,2.090404748916626,427,False,False
1630955548.1387782,1 2 3,1 3 2,jamesbond,dab,5.000194549560547,405,False,False
1630955553.1366966,1 3 2,3 1 2,mermaid,mermaid,4.984658241271973,178,True,False
1630955558.149487,3 2 1,1 3 2,dab,jamesbond,5.003182411193848,309,False,False
1630955563.1556041,1 3 2,3 1 2,mermaid,jamesbond,4.991482496261597,487,False,False
1630955568.1641812,2 1 3,1 3 2,dab,jamesbond,4.992953300476074,444,False,False
1630955573.1697462,2 3 1,1 2 3,dab,mermaid,4.988032579421997,300,False,False
1630955578.1748414,1 3 2,3 2 1,mermaid,mermaid,4.987055778503418,117,True,False
1630955583.18281,3 2 1,1 2 3,dab,mermaid,4.991963863372803,313,False,False
1630955588.1743715,3 2 1,1 3 2,jamesbond,jamesbond,4.978193044662476,35,True,False
1630955593.1941388,3 2 1,3 2 1,jamesbond,dab,5.015096187591553,408,False,True
1630955598.2000244,2 1 3,2 3 1,jamesbond,dab,4.99056601524353,435,False,False
1630955603.206073,3 1 2,1 3 2,dab,dab,4.988675832748413,367,True,False
1630955608.209716,3 1 2,3 2 1,mermaid,dab,4.98682975769043,171,False,False
1630955668.232762,None,3 2 1,None,dab,60.00717806816101,0,False,False
1631273166.6007104,None,1 3 2,None,jamesbond,60.0045804977417,0,False,False
1631273226.627796,None,3 2 1,None,dab,60.01667666435242,0,False,False
1631273286.6607497,None,3 1 2,None,jamesbond,60.01782536506653,0,False,False
1631273346.684612,None,1 2 3,None,dab,60.009565114974976,0,False,False
1631273406.7071636,None,3 2 1,None,mermaid,60.017916679382324,0,False,False
1631273466.7399194,None,2 3 1,None,jamesbond,60.01774597167969,0,False,False
1631273526.7666166,None,2 3 1,None,mermaid,60.01256728172302,0,False,False
1631273586.7917264,None,3 1 2,None,mermaid,60.015292167663574,0,False,False
1631273646.821965,None,1 2 3,None,dab,60.01701378822327,0,False,False
1631273706.8434827,None,3 2 1,None,jamesbond,60.006847858428955,0,False,False
1631273766.8657496,None,3 1 2,None,dab,60.01798748970032,0,False,False
1631273826.8997717,None,1 3 2,None,mermaid,60.018277406692505,0,False,False
1631273886.936985,None,1 3 2,None,mermaid,60.01617431640625,0,False,False
1631273946.9590366,None,1 3 2,None,mermaid,60.0047869682312,0,False,False
1631274006.967361,None,1 3 2,None,mermaid,60.0051064491272,0,False,False
1631274066.9885445,None,3 1 2,None,mermaid,60.01794791221619,0,False,False
1631274127.0171788,None,2 1 3,None,mermaid,60.012938022613525,0,False,False
1631274187.042922,None,2 1 3,None,mermaid,60.01795554161072,0,False,False
1631274247.0743036,None,2 1 3,None,mermaid,60.01703214645386,0,False,False
1631274307.108453,None,2 1 3,None,mermaid,60.01958990097046,0,False,False
1631274367.1426728,None,2 1 3,None,mermaid,60.017608642578125,0,False,False
1631274427.1687603,None,1 3 2,None,mermaid,60.01128077507019,0,False,False
1631274487.1862144,None,2 3 1,None,mermaid,60.008655071258545,0,False,False
1631274547.2106736,None,3 2 1,None,mermaid,60.01665806770325,0,False,False
1631274607.2306268,None,1 2 3,None,mermaid,60.00546383857727,0,False,False
1631274667.2528396,None,3 2 1,None,mermaid,60.01870846748352,0,False,False
1631274727.2932656,None,1 2 3,None,mermaid,60.019582748413086,0,False,False
1631274787.3228483,None,3 2 1,None,mermaid,60.01684236526489,0,False,False
1631274847.3548613,None,1 2 3,None,mermaid,60.01707363128662,0,False,False
1631274907.383851,None,2 3 1,None,mermaid,60.01447105407715,0,False,False
1631274967.411743,None,1 2 3,None,mermaid,60.01523685455322,0,False,False
1631275027.438382,None,3 2 1,None,mermaid,60.01417660713196,0,False,False
1631275087.4676862,None,3 1 2,None,mermaid,60.01711940765381,0,False,False
1631275147.4980166,None,2 1 3,None,mermaid,60.0151629447937,0,False,False
1631275207.5256593,None,3 2 1,None,mermaid,60.01529359817505,0,False,False
1631275267.5573387,None,3 2 1,None,mermaid,60.018691301345825,0,False,False
1631275327.5878859,None,1 3 2,None,mermaid,60.015124559402466,0,False,False
1631275387.6171205,None,3 1 2,None,mermaid,60.01691269874573,0,False,False
1631279864.1807377,None,2 3 1,None,mermaid,4476.548979759216,0,False,False
1631279924.2071612,None,1 2 3,None,mermaid,60.00895667076111,0,False,False
1631279984.2305326,None,3 1 2,None,mermaid,60.016576290130615,0,False,False
1631280044.2543247,None,2 3 1,None,mermaid,60.005823612213135,0,False,False
1631280104.2760642,None,3 1 2,None,mermaid,60.017398834228516,0,False,False
1631280164.3020792,None,1 2 3,None,mermaid,60.010982275009155,0,False,False
1631280224.327988,None,3 2 1,None,mermaid,60.017205238342285,0,False,False
1631280284.3602235,None,2 1 3,None,mermaid,60.01724457740784,0,False,False
1631280344.3921738,None,1 3 2,None,mermaid,60.01758289337158,0,False,False
1631280404.4275703,None,2 1 3,None,mermaid,60.01854848861694,0,False,False
1631280464.4599938,None,3 1 2,None,mermaid,60.01750874519348,0,False,False
1631280524.491402,None,2 3 1,None,mermaid,60.016592264175415,0,False,False
1631280584.5167816,None,2 3 1,None,mermaid,60.010839223861694,0,False,False
1631280644.5415084,None,1 3 2,None,mermaid,60.016740798950195,0,False,False
1631280704.5752482,None,1 3 2,None,mermaid,60.01826214790344,0,False,False
1631280764.607866,None,2 1 3,None,mermaid,60.01673626899719,0,False,False
1631280824.639317,None,3 1 2,None,mermaid,60.01664352416992,0,False,False
1631280884.6743035,None,3 1 2,None,mermaid,60.02063775062561,0,False,False
1631280944.7102795,None,1 2 3,None,mermaid,60.019272327423096,0,False,False
1631281004.7431195,None,2 1 3,None,mermaid,60.01698279380798,0,False,False
1631281064.7748747,None,2 3 1,None,mermaid,60.01708483695984,0,False,False
1631281124.8077414,None,2 1 3,None,mermaid,60.018044233322144,0,False,False
1631281184.8398151,None,3 2 1,None,mermaid,60.017038106918335,0,False,False
1631281509.541306,None,2 1 3,None,mermaid,324.68723917007446,0,False,False
1631281569.646182,None,2 1 3,None,mermaid,60.008474588394165,0,False,False
1631281629.6692657,None,2 3 1,None,mermaid,60.01679015159607,0,False,False
1631281689.6950965,None,1 2 3,None,mermaid,60.011048316955566,0,False,False
1631281749.721618,None,3 2 1,None,mermaid,60.01784706115723,0,False,False
1631281809.7538335,None,1 2 3,None,mermaid,60.017908811569214,0,False,False
1631281869.7904067,None,3 1 2,None,mermaid,60.02156376838684,0,False,False
1631281929.827476,None,3 1 2,None,mermaid,60.01821732521057,0,False,False
1631281989.8592498,None,1 2 3,None,mermaid,60.01739287376404,0,False,False
1631282049.8853528,None,1 3 2,None,mermaid,60.01177453994751,0,False,False
1631282109.914331,None,3 1 2,None,mermaid,60.01974391937256,0,False,False
1631282169.9480608,None,2 1 3,None,mermaid,60.017091512680054,0,False,False
1631282229.9810627,None,2 3 1,None,mermaid,60.017592668533325,0,False,False
1631282290.0140545,None,3 2 1,None,mermaid,60.01830863952637,0,False,False
1631282350.0475328,None,1 3 2,None,mermaid,60.01783037185669,0,False,False
1631282410.080859,None,1 2 3,None,mermaid,60.017831802368164,0,False,False
1631282470.1123388,None,3 2 1,None,mermaid,60.01690936088562,0,False,False
1631282530.1442761,None,2 1 3,None,mermaid,60.01760125160217,0,False,False
1631282590.1767762,None,3 2 1,None,mermaid,60.018030643463135,0,False,False
1631282650.2099376,None,2 3 1,None,mermaid,60.017598152160645,0,False,False
1631284815.5321002,None,1 2 3,None,mermaid,2165.3074498176575,0,False,False
1631284875.604184,None,3 1 2,None,mermaid,60.00869393348694,0,False,False
1631284935.627726,None,1 3 2,None,mermaid,60.017478227615356,0,False,False
1631284995.6473277,None,2 3 1,None,mermaid,60.00774931907654,0,False,False
1631285055.6706464,None,2 1 3,None,mermaid,60.016756534576416,0,False,False
1631285115.7031078,None,2 1 3,None,mermaid,60.01772403717041,0,False,False
1631285175.7353146,None,3 1 2,None,mermaid,60.01793956756592,0,False,False
1631285235.769359,None,3 2 1,None,mermaid,60.01836109161377,0,False,False
1631285295.8030968,None,2 1 3,None,mermaid,60.01768660545349,0,False,False
1631285355.8317037,None,2 1 3,None,mermaid,60.013391971588135,0,False,False
1631285415.863554,None,3 2 1,None,mermaid,60.017213344573975,0,False,False
1631285475.8948371,None,2 1 3,None,mermaid,60.01699948310852,0,False,False
1631285535.9276364,None,3 2 1,None,mermaid,60.01714277267456,0,False,False
1631285595.9512897,None,2 1 3,None,mermaid,60.00836515426636,0,False,False
1631285655.981167,None,3 2 1,None,mermaid,60.01711893081665,0,False,False
1631285716.012604,None,1 2 3,None,mermaid,60.01704955101013,0,False,False
1631285776.0444942,None,2 3 1,None,mermaid,60.016979455947876,0,False,False
1631285836.0770633,None,3 2 1,None,mermaid,60.01746416091919,0,False,False
1631285896.1097083,None,3 1 2,None,mermaid,60.017701387405396,0,False,False
1631285956.1418715,None,3 1 2,None,mermaid,60.01681447029114,0,False,False
1631286016.167816,None,1 3 2,None,mermaid,60.01044511795044,0,False,False
1631286076.1933606,None,2 3 1,None,mermaid,60.017385959625244,0,False,False
1631286136.2249172,None,2 3 1,None,mermaid,60.01688861846924,0,False,False
1631286196.258393,None,1 2 3,None,mermaid,60.01753902435303,0,False,False
1631286256.2902062,None,3 1 2,None,mermaid,60.01600503921509,0,False,False
1631286316.3263857,None,1 3 2,None,mermaid,60.02029752731323,0,False,False
1631286376.3584533,None,2 3 1,None,mermaid,60.01718258857727,0,False,False
1631286436.390681,None,2 1 3,None,mermaid,60.01702833175659,0,False,False
1631286496.4233193,None,3 2 1,None,mermaid,60.01642417907715,0,False,False
1631286556.4553692,None,2 3 1,None,mermaid,60.017390727996826,0,False,False
1631286616.4879537,None,3 2 1,None,mermaid,60.01805830001831,0,False,False
1631286676.5215564,None,2 1 3,None,mermaid,60.01805400848389,0,False,False
1631286736.554185,None,1 3 2,None,mermaid,60.017592430114746,0,False,False
1631286796.5849733,None,1 3 2,None,mermaid,60.016146659851074,0,False,False
1631287319.27439,None,2 3 1,None,mermaid,522.6759402751923,0,False,False
1631287379.4012454,None,2 1 3,None,mermaid,60.008965730667114,0,False,False
1631287439.4247005,None,2 1 3,None,mermaid,60.01689958572388,0,False,False
1631287499.4566648,None,1 3 2,None,mermaid,60.017027616500854,0,False,False
1631287559.483356,None,1 3 2,None,mermaid,60.011674880981445,0,False,False
1631287619.5162816,None,2 3 1,None,mermaid,60.017738580703735,0,False,False
1631287679.548484,None,2 1 3,None,mermaid,60.01712512969971,0,False,False
1631287739.5806313,None,1 3 2,None,mermaid,60.01705622673035,0,False,False
1631287799.6132452,None,1 2 3,None,mermaid,60.017284631729126,0,False,False
1631287859.644746,None,2 1 3,None,mermaid,60.01678681373596,0,False,False
1631287919.6828547,None,2 1 3,None,mermaid,60.02102518081665,0,False,False
1631287979.7208366,None,3 1 2,None,mermaid,60.018842935562134,0,False,False
1631288039.7535737,None,1 2 3,None,mermaid,60.017253398895264,0,False,False
1631288099.7858016,None,1 2 3,None,mermaid,60.017505168914795,0,False,False
1631288159.8174727,None,1 2 3,None,mermaid,60.0170476436615,0,False,False
1631288219.850166,None,2 3 1,None,mermaid,60.01724028587341,0,False,False
